minute,second,kongqiu_team,pass_player_name,pass_location_y,pass_location_x,jieqiu_team,jieqiu_player_name,end_location_y,end_location_x
0,3,TOR,Kyle Lowry,24.55198,42.59281,TOR,DeMar DeRozan,9.83596,36.41769
0,6,TOR,DeMar DeRozan,6.76188,33.29123,TOR,Luis Scola,17.20629,13.14253
0,10,TOR,DeMar DeRozan,4.19563,28.20097,TOR,Kyle Lowry,30.83724,35.03369
0,17,TOR,Kyle Lowry,33.66047,26.04361,TOR,DeMar DeRozan,3.90518,16.33277
0,20,TOR,DeMar DeRozan,5.78359,12.38668,TOR,Luis Scola,12.64526,12.90978
0,27,TOR,Luis Scola,10.26118,10.47657,TOR,Jonas Valanciunas,19.89703,36.49201
0,33,CHA,Marvin Williams,10.5576,17.6172,CHA,Kemba Walker,24.90684,21.56097
0,44,CHA,Kemba Walker,15.47229,23.86357,CHA,Cody Zeller,10.7959,30.89455
0,49,CHA,Cody Zeller,9.95718,29.99935,CHA,Nicolas Batum,4.07813,30.72926
1,0,TOR,Jonas Valanciunas,9.60387,29.09587,TOR,Kyle Lowry,29.08052,39.27936
1,6,TOR,Kyle Lowry,29.5284,38.75383,TOR,DeMar DeRozan,27.11724,18.99521
1,12,TOR,DeMar DeRozan,30.54587,16.44143,TOR,Kyle Lowry,29.7059,38.60418
1,15,TOR,Kyle Lowry,30.0601,38.2119,TOR,Jonas Valanciunas,7.63694,26.41866
1,17,TOR,Jonas Valanciunas,7.43223,26.50326,TOR,DeMarre Carroll,8.0438,47.64671
1,23,TOR,DeMarre Carroll,7.8557,48.00098,TOR,Kyle Lowry,31.86949,37.38626
2,15,CHA,Marvin Williams,6.59083,24.42027,CHA,Nicolas Batum,33.87417,25.98258
2,15,CHA,Marvin Williams,6.59083,24.42027,CHA,Nicolas Batum,33.87417,25.98258
2,33,TOR,Luis Scola,47.39946,24.59817,TOR,Jonas Valanciunas,72.56497,24.15619
2,34,TOR,Jonas Valanciunas,73.0122,24.14556,TOR,DeMar DeRozan,76.05162,29.70508
2,41,TOR,DeMar DeRozan,79.21993,33.20176,TOR,Jonas Valanciunas,74.32325,25.54874
3,1,TOR,Jonas Valanciunas,72.90506,27.23488,TOR,Luis Scola,66.88112,24.1667
3,5,TOR,Luis Scola,69.1865,22.79536,TOR,Kyle Lowry,67.40197,35.68434
3,5,TOR,Luis Scola,69.1865,22.79536,TOR,Kyle Lowry,67.40197,35.68434
3,8,CHA,Nicolas Batum,85.48587,2.49388,CHA,Cody Zeller,61.0476,24.87453
3,12,CHA,Cody Zeller,61.80248,24.72835,CHA,Nicolas Batum,84.72532,2.66951
3,20,TOR,Luis Scola,74.13164,16.65816,TOR,Kyle Lowry,71.19066,34.34445
3,27,TOR,Kyle Lowry,72.26328,34.59266,TOR,Jonas Valanciunas,73.02422,23.18705
3,29,TOR,Jonas Valanciunas,73.12477,22.92989,TOR,DeMar DeRozan,85.60877,33.53574
3,42,TOR,DeMar DeRozan,86.02175,32.2527,TOR,DeMarre Carroll,66.05842,15.25319
1,0,TOR,DeMarre Carroll,5.82656,43.42985,TOR,DeMar DeRozan,22.55676,21.49986
4,13,CHA,Kemba Walker,75.65605,44.88356,CHA,Cody Zeller,88.71812,25.06742
4,14,CHA,Kemba Walker,75.30713,44.60347,TOR,Jonas Valanciunas,84.99391,26.2104
4,17,TOR,Jonas Valanciunas,86.29251,25.40952,TOR,Luis Scola,71.51213,18.98041
4,17,TOR,Jonas Valanciunas,86.29251,25.40952,CHA,Kemba Walker,73.9354,43.20345
4,18,CHA,Kemba Walker,73.56344,42.82943,CHA,Cody Zeller,87.78173,25.72368
4,25,TOR,Jonas Valanciunas,87.39367,23.75368,TOR,Kyle Lowry,88.88824,32.8827
4,39,TOR,Kyle Lowry,84.63717,35.12454,TOR,DeMar DeRozan,80.73286,38.01875
5,45,TOR,DeMar DeRozan,31.23451,40.74886,TOR,Jonas Valanciunas,31.39439,29.06689
5,47,TOR,Jonas Valanciunas,30.89523,29.44534,CHA,Cody Zeller,22.09185,28.42903
6,18,TOR,Kyle Lowry,6.3228,47.55945,TOR,DeMarre Carroll,31.78437,12.18307
6,26,TOR,DeMarre Carroll,32.64575,12.35068,TOR,Kyle Lowry,7.46863,47.18045
6,28,TOR,Kyle Lowry,8.21329,46.86368,TOR,DeMar DeRozan,6.74305,44.16107
7,39,CHA,Kemba Walker,21.50091,40.84921,CHA,Marvin Williams,10.49236,17.54489
7,43,CHA,Marvin Williams,14.4057,18.5312,CHA,PJ Hairston,32.05653,38.67274
8,19,TOR,Kyle Lowry,76.02777,30.7488,TOR,DeMar DeRozan,84.8622,32.24489
8,22,TOR,DeMar DeRozan,85.9499,31.09966,TOR,Kyle Lowry,76.68963,29.67657
8,28,TOR,Kyle Lowry,76.77107,27.06196,TOR,DeMarre Carroll,73.71094,7.77043
8,30,TOR,DeMarre Carroll,75.88346,8.65028,TOR,Jonas Valanciunas,85.61206,17.62239
8,40,TOR,Jonas Valanciunas,83.7151,22.89729,TOR,Kyle Lowry,79.1976,23.16268
8,46,TOR,Kyle Lowry,80.45352,22.55779,TOR,Luis Scola,86.20731,26.20628
9,8,CHA,Cody Zeller,50.66865,37.63466,CHA,Nicolas Batum,80.86781,3.36294
9,19,CHA,Cody Zeller,38.91322,32.13608,CHA,Kemba Walker,40.41961,19.67925
9,36,TOR,Kyle Lowry,50.9208,19.21387,TOR,Luis Scola,62.05831,26.22371
9,37,TOR,Kyle Lowry,49.61058,18.88006,CHA,Marvin Williams,26.22923,22.12767
11,2,TOR,Kyle Lowry,4.64318,3.85807,TOR,DeMar DeRozan,10.01254,46.28528
11,6,TOR,DeMar DeRozan,9.15064,46.78781,TOR,Kyle Lowry,6.22029,3.26634
11,10,TOR,Kyle Lowry,10.35471,3.54995,TOR,Jonas Valanciunas,23.66959,30.50609
11,12,TOR,Jonas Valanciunas,22.52439,30.91924,TOR,DeMarre Carroll,12.56167,9.32439
12,16,CHA,Nicolas Batum,9.38369,10.68386,CHA,Marvin Williams,19.20272,8.98176
12,20,CHA,Marvin Williams,19.65652,9.37677,CHA,PJ Hairston,19.69039,17.41666
0,49,CHA,PJ Hairston,13.39444,21.04931,CHA,Nicolas Batum,4.07813,30.72926
12,29,CHA,Nicolas Batum,9.35933,10.36662,CHA,Kemba Walker,27.83845,29.09284
0,49,CHA,Cody Zeller,9.95718,29.99935,CHA,Nicolas Batum,4.07813,30.72926
12,52,TOR,Kyle Lowry,8.67892,18.11564,TOR,Luis Scola,12.8351,26.77189
13,8,CHA,Nicolas Batum,61,40,CHA,Marvin Williams,35,39
13,21,CHA,Marvin Williams,61,40,CHA,Nicolas Batum,35,39
13,24,CHA,Nicolas Batum,61,40,CHA,Cody Zeller,35,39
13,57,TOR,Luis Scola,61,40,TOR,DeMar DeRozan,35,39
14,6,TOR,DeMar DeRozan,61,40,TOR,Kyle Lowry,35,39
14,10,TOR,Kyle Lowry,61,40,TOR,DeMar DeRozan,35,39
14,20,TOR,DeMar DeRozan,61,40,TOR,Jonas Valanciunas,35,39
14,26,TOR,Jonas Valanciunas,61,40,TOR,Kyle Lowry,35,39
14,28,TOR,Kyle Lowry,61,40,TOR,DeMar DeRozan,35,39
14,29,TOR,DeMar DeRozan,61,40,TOR,DeMarre Carroll,35,39
14,53,CHA,Marvin Williams,61,40,CHA,Nicolas Batum,35,39
15,0,CHA,Nicolas Batum,61,40,CHA,PJ Hairston,35,39
15,1,CHA,PJ Hairston,61,40,CHA,Cody Zeller,35,39
15,14,CHA,Cody Zeller,61,40,CHA,Marvin Williams,35,39
15,31,TOR,Luis Scola,61,40,TOR,Jonas Valanciunas,35,39
15,34,TOR,Jonas Valanciunas,61,40,TOR,DeMar DeRozan,35,39
16,19,CHA,Nicolas Batum,12.91454,15.03126,CHA,Cody Zeller,6.3382,33.1826
16,58,TOR,Kyle Lowry,18.5747,25.29515,TOR,DeMar DeRozan,23.31665,26.80716
17,1,TOR,DeMar DeRozan,22.85233,27.10554,TOR,Kyle Lowry,18.47941,26.3533
17,2,TOR,Kyle Lowry,18.46412,26.39438,TOR,Luis Scola,14.23803,20.67611
17,5,TOR,Luis Scola,61,40,TOR,DeMar DeRozan,35,39
18,18,CHA,Nicolas Batum,61,40,CHA,Kemba Walker,35,39
18,21,CHA,Kemba Walker,61,40,CHA,Frank Kaminsky,35,39
18,41,CHA,Cody Zeller,6.60938,33.27631,CHA,Kemba Walker,26.99708,36.69412
20,6,CHA,Kemba Walker,27.36966,25.50164,CHA,Frank Kaminsky,35,39
20,12,CHA,Frank Kaminsky,61,40,CHA,Kemba Walker,32.86586,25.44191
20,55,CHA,Kemba Walker,55.96867,15.8729,CHA,Jeremy Lamb,35,39
21,23,TOR,DeMar DeRozan,82.29783,15.13754,TOR,Patrick Patterson,35,39
21,25,TOR,Patrick Patterson,61,40,TOR,Kyle Lowry,72.57036,25.57581
21,39,TOR,Kyle Lowry,77.63245,26.56901,TOR,Patrick Patterson,35,39
22,47,TOR,DeMar DeRozan,38.53406,47.38996,TOR,Cory Joseph,35,39
23,0,CHA,Tyler Hansbrough,61,40,CHA,Jeremy Lamb,35,39
23,0,CHA,Tyler Hansbrough,61,40,TOR,DeMar DeRozan,24.39101,47.70778
23,6,TOR,DeMar DeRozan,24.71077,47.20754,TOR,Cory Joseph,35,39
23,12,TOR,Cory Joseph,61,40,TOR,Patrick Patterson,35,39
23,14,TOR,Patrick Patterson,61,40,TOR,Cory Joseph,35,39
24,0,CHA,Jeremy Lamb,61,40,CHA,Frank Kaminsky,35,39
25,9,TOR,DeMar DeRozan,33.3259,26.91827,TOR,Patrick Patterson,35,39
25,26,CHA,Frank Kaminsky,61,40,CHA,Kemba Walker,17.78262,15.07656
25,52,TOR,Patrick Patterson,61,40,TOR,DeMar DeRozan,4.69353,30.55298
